test_case_name,SOH_beta_uncorrected[deg],alpha[deg],beta[deg],theta[deg],Cd_U_H_SOHreport,Ca_U_SOHreport,Cl_U_SOHreport,Cra_U_SOHreport,Cd_Uyz_H,Ca_Uyz,Cl_Uyz,Crd_Uyz,Cra_Uyz,Crl_Uyz,Cx_Ls,Cy_Ls,Cz_Ls,Cxx_Ls,Cyy_Ls,Czz_Ls,Cq_bar_Lw,Cp_bar_Lw,Ch_bar_Lw,Cqq_bar_Lw,Cpp_bar_Lw,Chh_bar_Lw
Julsundet,0,1,0,1,-,-,-,-,-,-,-,-,-,-,0,0.097689,-0.31748,-0.00412543,0,0,-,-,-,-,-,-
Julsundet,0,2,0,2,-,-,-,-,-,-,-,-,-,-,0,0.100769,-0.246498,-0.0236118,0,0,-,-,-,-,-,-
Julsundet,0,3,0,3,-,-,-,-,-,-,-,-,-,-,0,0.102644,-0.172164,-0.0421814,0,0,-,-,-,-,-,-
Julsundet,0,4,0,4,-,-,-,-,-,-,-,-,-,-,0,0.103765,-0.0950672,-0.0597078,0,0,-,-,-,-,-,-
Julsundet,0,5,0,5,-,-,-,-,-,-,-,-,-,-,0,0.103784,-0.017646,-0.0757155,0,0,-,-,-,-,-,-
Julsundet,0,6,0,6,-,-,-,-,-,-,-,-,-,-,0,0.103627,0.0610084,-0.0898439,0,0,-,-,-,-,-,-
Julsundet,0,7,0,7,-,-,-,-,-,-,-,-,-,-,0,0.103709,0.133007,-0.100612,0,0,-,-,-,-,-,-
Julsundet,0,8,0,8,-,-,-,-,-,-,-,-,-,-,0,0.104331,0.192674,-0.10788,0,0,-,-,-,-,-,-
Julsundet,0,9,0,9,-,-,-,-,-,-,-,-,-,-,0,0.105899,0.239557,-0.112447,0,0,-,-,-,-,-,-
Julsundet,0,10,0,10,-,-,-,-,-,-,-,-,-,-,0,0.106877,0.275195,-0.11566,0,0,-,-,-,-,-,-
K71_003.0Tilt_009.9Skew_East_Turbulent.mat,9.9,-3,9.913316879,2.95528802,0.682989664,0.004908308,0.055949024,0.061978554,0.70379353,0.005057815,0.057653231,-0.031358189,0.063866421,-0.001174228,-0.004908308,0.083487913,0.059854294,-0.061978554,-0.03032991,-0.002730606,0.007741454,0.075795275,0.056021048,-0.066274712,-0.019322194,-0.001736728
K71_001.5Tilt_009.9Skew_East_Turbulent.mat,9.9,-1.5,9.903326468,1.477658998,0.663165459,0.006746355,-0.029821073,0.039032004,0.68336548,0.006951849,-0.030729423,-0.010885886,0.040220919,-0.001714399,-0.006746355,0.085292862,-0.027877007,-0.039032004,-0.010516932,-0.001939688,0.006189723,0.073935777,-0.029793508,-0.04025917,-0.003696059,-0.001844991
K71_000.0Tilt_009.9Skew_East_Turbulent.mat,9.9,0,9.9,0,0.681995243,0.007179201,-0.116160738,0.018165724,0.702768819,0.007397879,-0.119698994,-0.03141443,0.018719052,-0.003263869,-0.007179201,0.086826929,-0.116160738,-0.018165724,-0.030485831,-0.003167391,0.005989769,0.076076579,-0.116160738,-0.023136625,-0.02690866,-0.003167391
K71_-01.5Tilt_009.9Skew_East_Turbulent.mat,9.9,1.5,9.903326468,-1.477658998,0.723961493,0.008525274,-0.212530311,-0.010919433,0.746013362,0.008784954,-0.219003984,-0.00611946,-0.011252039,-0.001028652,-0.008525274,0.085780033,-0.214568615,0.010919433,-0.005962667,-0.000842449,0.004510624,0.080913391,-0.212552772,0.009731229,-0.00772751,-0.001042066
K71_-03.0Tilt_009.9Skew_East_Turbulent.mat,9.9,3,9.913316879,-2.95528802,0.76111063,0.002818523,-0.307953916,-0.038913552,0.784294061,0.002904375,-0.317334193,0.000141243,-0.040098859,-0.001737408,-0.002818523,0.078347057,-0.311969281,0.038913552,4.86E-05,-0.001690914,0.009025627,0.084008987,-0.308047741,0.03834092,-0.006555345,-0.002031587
K71_003.0Tilt_019.9Skew_East_Turbulent.mat,19.9,-3,19.92516179,2.820714906,0.623571597,0.010699306,0.093929474,0.061567918,0.705284632,0.012101347,0.106238024,-0.041293405,0.069635799,0.000925684,-0.010699306,0.073661875,0.097436276,-0.061567918,-0.036502023,-0.001093431,0.011906655,0.068959156,0.094156815,-0.070321988,-0.01337273,-0.000435876
K71_001.5Tilt_019.9Skew_East_Turbulent.mat,19.9,-1.5,19.90628581,1.410413519,0.612739278,0.01410299,0.004604519,0.039593603,0.693032842,0.015951051,0.005207897,0.004526014,0.044781962,-0.001116225,-0.01410299,0.077845255,0.006389741,-0.039593603,0.004026101,-0.000881813,0.009931495,0.068983046,0.004693223,-0.035857098,0.017239545,-0.001306541
K71_000.0Tilt_019.9Skew_East_Turbulent.mat,19.9,0,19.9,0,0.638143083,0.015186816,-0.070300116,0.020653028,0.721765571,0.017176902,-0.079512267,-0.026865787,0.023359408,-0.000624623,-0.015186816,0.081243975,-0.070300116,-0.020653028,-0.023753165,-0.000552255,0.009917081,0.072012934,-0.070300116,-0.027504888,-0.01530495,-0.000552255
K71_-01.5Tilt_019.9Skew_East_Turbulent.mat,19.9,1.5,19.90628581,-1.410413519,0.634807517,0.017135559,-0.151948383,-0.001752494,0.717992911,0.019381009,-0.171859751,-0.010560485,-0.001982141,0.001807178,-0.017135559,0.076245854,-0.153747467,0.001752494,-0.009291941,0.001841668,0.006603622,0.072326855,-0.152013278,-0.001515961,-0.009375951,0.001611377
K71_-03.0Tilt_019.9Skew_East_Turbulent.mat,19.9,3,19.92516179,-2.820714906,0.695470033,0.017177947,-0.222069231,-0.026067641,0.786604664,0.019428951,-0.251169259,-0.03259494,-0.029483553,0.0001124,-0.017177947,0.075138582,-0.225819602,0.026067641,-0.028773852,0.001607488,0.006256179,0.078695507,-0.222216162,0.014701283,-0.03597063,-0.000162856
K71_003.0Tilt_029.9Skew_East_Turbulent.mat,29.9,-3,29.93396722,2.600394727,0.583912238,0.018677563,0.1147551,0.053282351,0.776985348,0.02485338,0.152699371,0.008913319,0.070900391,0.002808389,-0.018677563,0.067374006,0.118002141,-0.053282351,0.006578811,0.00245821,0.013231273,0.065699758,0.115139916,-0.042891706,0.032367462,0.000990722
K71_001.5Tilt_029.9Skew_East_Turbulent.mat,29.9,-1.5,29.9084867,1.300308205,0.556819073,0.020881561,0.047235615,0.035362385,0.74093371,0.02778614,0.062854275,0.01691354,0.047055111,0.00385914,-0.020881561,0.069452946,0.04884316,-0.035362385,0.012630421,0.003231915,0.012200949,0.064181999,0.047398902,-0.024355194,0.028646575,0.002582512
K71_000.0Tilt_029.9Skew_East_Turbulent.mat,29.9,0,29.9,0,0.565552902,0.02187916,-0.037523977,0.017297377,0.752555418,0.029113599,-0.049931443,0.051204619,0.02301683,0.002364561,-0.02187916,0.072002294,-0.037523977,-0.017297377,0.038480782,0.001776991,0.012438756,0.065522728,-0.037523977,0.004187158,0.041981395,0.001776991
K71_-01.5Tilt_029.9Skew_East_Turbulent.mat,29.9,1.5,29.9084867,-1.300308205,0.619216369,0.02056323,-0.106953272,-0.001038721,0.823962942,0.027362551,-0.142317835,0.008437242,-0.001382179,0.002231925,-0.02056323,0.075607673,-0.10872231,0.001038721,0.006382406,0.00151076,0.015162127,0.070049109,-0.107160301,0.004082758,0.004978918,0.001624163
