test_case_name,SOH_beta_uncorrected[deg],alpha[deg],beta[deg],theta[deg],Cd_U_H_SOHreport,Ca_U_SOHreport,Cl_U_SOHreport,Cra_U_SOHreport,Cd_Uyz_H,Ca_Uyz,Cl_Uyz,Crd_Uyz,Cra_Uyz,Crl_Uyz,Cx_Ls,Cy_Ls,Cz_Ls,Cxx_Ls,Cyy_Ls,Czz_Ls,Cq_bar_Lw,Cp_bar_Lw,Ch_bar_Lw,Cqq_bar_Lw,Cpp_bar_Lw,Chh_bar_Lw
K71_000.0Tilt_019.9Skew_East_Smooth.mat,19.9,-0.0,19.9,0.0,0.6002574873600496,0.007270739640981966,-0.06522621155969104,0.03926089872716165,0.6789154333578818,0.00822349984487363,-0.07377347658268928,-0.037945778735146554,0.04440566029521699,-0.003254606981501719,-0.007270739640981962,0.0668680620634252,-0.06522621155969104,-0.03926089872716165,-0.03354944766364257,-0.00287753395058097,0.015923930729767655,0.06535005592314816,-0.06522621155969104,-0.04833610283455549,-0.018182540256169145,-0.00287753395058097
K71_-01.5Tilt_019.9Skew_East_Smooth.mat,19.9,1.5,19.90628580776381,-1.4104135194678153,0.6395621518234978,0.008726976524084447,-0.14205496894430805,0.018492415510592285,0.7233705944664045,0.009870562506118247,-0.16066990055488672,-0.0434698624554109,0.02091566795013937,-0.0031924751015192164,-0.008726976524084443,0.0675035809584829,-0.14387130779757074,-0.01849241551059229,-0.03849423763769095,-0.0018155610393802216,0.014778255389545783,0.06996277969976337,-0.14219233239938592,-0.03049413025964951,-0.029844143191399452,-0.0025509138538778796
K71_-03.0Tilt_019.9Skew_East_Smooth.mat,19.9,3.0,19.92516179332088,-2.820714905714052,0.823368437512805,0.017607143757695037,-0.25349058149122866,-0.004364899543534438,0.9312629185613259,0.019914389884619438,-0.2867080738003854,-0.04724653803653554,-0.004936877469359717,-0.01848745177191601,-0.017607143757695034,0.07833001637776982,-0.25794356048581196,0.0043648995435344356,-0.042570848278319105,-0.014136916280475264,0.010141123525483242,0.09223858663594564,-0.2537118131309372,-0.01040421335587765,-0.04076403750419359,-0.016162532718731124
K71_003.0Tilt_030.1Skew_East_Smooth.mat,30.1,-3.0,30.134104264318,2.5951557499510858,0.5591598819604935,0.009119661120472031,0.14279845534361765,0.07857911091977451,0.7470535847887082,0.012184127924592758,0.1907828179530895,-0.026412905497999625,0.10498393821871975,-0.005147380485509163,-0.009119661120472028,0.054730971650592236,0.14586275291452838,-0.07857911091977451,-0.0195409849613519,-0.004882134206288857,0.019589185619348408,0.058463744102673645,0.14336263319583226,-0.07776943531745963,0.02230447006245265,-0.005898096832609551
K71_001.5Tilt_030.1Skew_East_Smooth.mat,30.1,-1.5,30.108520966304383,1.297689838892027,0.5745275155439398,0.009080297033341766,0.07527519554968926,0.06424291840526812,0.7675851825098836,0.012131536379041427,0.10056981284833937,-0.036284239970286736,0.08583037524736956,-0.00479415083223045,-0.009080297033341763,0.06200936315547123,0.07692477164161671,-0.06424291840526812,-0.027055042450285605,-0.004298050762882451,0.023251184934757863,0.05992508857761745,0.07558703303722206,-0.06914693515620834,0.00872248779279542,-0.00449674246323507
K71_000.0Tilt_030.1Skew_East_Smooth.mat,30.1,-0.0,30.1,0.0,0.5597026812814396,0.012011690782975952,0.01629028480950034,0.0488097016510171,0.747778780196347,0.016047962216698634,0.021764286131361076,-0.03057223159527614,0.0652111565354324,-0.004582807318621119,-0.012011690782975948,0.06235029869197384,0.01629028480950034,-0.0488097016510171,-0.02288291731431615,-0.003430171612191163,0.020877412914788483,0.059966441385408284,0.01629028480950034,-0.053703811451622493,0.004681401034275064,-0.003430171612191163
K71_-01.5Tilt_030.1Skew_East_Smooth.mat,30.1,1.5,30.108520966304383,-1.297689838892027,0.5706416134056097,0.012253193833616017,-0.044220704197170155,0.03212395787978762,0.7623935061821767,0.016370617195245213,-0.059080124769593324,-0.05066125366092519,0.04291852592778172,-0.001388985788455264,-0.012253193833616014,0.06238953783800452,-0.04586959026707364,-0.03212395787978762,-0.03793350933289231,-4.667025856607875e-05,0.020697096036913793,0.061141818910355535,-0.044496322297525204,-0.04681863425885617,-0.01669541675971628,-0.00042488073488454567
K71_-03.0Tilt_030.1Skew_East_Smooth.mat,30.1,3.0,30.134104264318,-2.5951557499510858,0.6046941591693552,0.012255318547516422,-0.09776505421660292,0.016344834265167783,0.8078886806478317,0.01637345587374694,-0.13061690685587463,-0.05396067939677098,0.02183716576332208,-0.001961255569831232,-0.012255318547516419,0.0621533574111157,-0.10115654113439533,-0.016344834265167786,-0.040410342287632024,0.000647827471283512,0.020603531431070108,0.0644247657173074,-0.09834034034560062,-0.034422901791433515,-0.026745374903783554,-0.000563741878275123
K71_003.0Tilt_041.2Skew_East_Smooth.mat,41.2,-3.0,41.23894626195783,2.256796982577922,0.4401717008709103,0.01199594071247423,0.14552899013688797,0.06346745530280852,0.7775124161956858,0.02118944227773374,0.2570601347700763,-0.03876158625803082,0.11210792157842588,-0.005998272095760223,-0.011995940712474229,0.041351072167764735,0.14789582412736912,-0.06346745530280852,-0.021736231375555658,-0.004539598771965489,0.018238106468415106,0.0447960174809409,0.14624526265014048,-0.06205397191313892,0.025294330891386215,-0.005539944818908346
K71_001.5Tilt_041.2Skew_East_Smooth.mat,41.2,-1.5,41.20973256802134,1.1285664188905387,0.45022956505027184,0.012132139355043536,0.1140065879402054,0.05865316702833158,0.7952784703613464,0.02143002143231617,0.20137945596282453,-0.0027739796723305955,0.10360403797767416,-0.010704340950892873,-0.012132139355043533,0.04715357552568491,0.1152804283728831,-0.05865316702833158,-0.0014112568870270834,-0.006099061617239332,0.021938544470853097,0.0457287625764874,0.11440195013960971,-0.04505471446859713,0.03745260940442625,-0.006838051916890688
K71_000.0Tilt_041.2Skew_East_Smooth.mat,41.2,-0.0,41.20000000000001,0.0,0.5057576858222805,0.013945228777069286,0.01875423132758307,0.03766699864876937,0.8933624754503332,0.024632634263874614,0.03312718124438972,-0.023547187437212895,0.06653439799128118,-0.010449618640344141,-0.013945228777069283,0.05634088209937321,0.01875423132758307,-0.03766699864876937,-0.013330726724183261,-0.005915823740639797,0.02661854717281776,0.05157729488630389,0.01875423132758307,-0.037122020545631115,0.014780617470558824,-0.005915823740639797
K71_-01.5Tilt_041.2Skew_East_Smooth.mat,41.2,1.5,41.20973256802134,-1.1285664188905387,0.44235740738654866,0.011186817734476877,0.009103301979445255,0.029487334091161343,0.7813732140404956,0.019760220089261725,0.016079930407596112,-0.039075175579963276,0.0520859662968475,0.0004254325471344759,-0.011186817734476873,0.04949956705317042,0.007810230742442884,-0.029487334091161343,-0.022107673418525334,0.0008198417236249486,0.024195292480721046,0.04444625877919727,0.008687326172702013,-0.03674832700260536,0.0027784056550722424,0.0008747346804499408
K71_-03.0Tilt_041.2Skew_East_Smooth.mat,41.2,3.0,41.23894626195783,-2.256796982577922,0.4893896157775126,0.01705557316921423,-0.050151015256029816,0.014182542176254875,0.8644501722200534,0.030126698009345934,-0.08858596990499847,-0.06973517750849247,0.025051820944961386,-0.0031938130207752637,-0.017055573169214227,0.051818080384522604,-0.052935510320771054,-0.014182542176254876,-0.039519574553948764,0.0002605441903233566,0.021333289559914512,0.052254103112635245,-0.050917322673473805,-0.036716137028072256,-0.020362734895175833,-0.0005417269663622807
K71_003.0Tilt_050.9Skew_East_Smooth.mat,50.9,-3.0,50.938452205871805,1.8915065846555075,0.3677509909774553,0.013892943574048673,0.11907569731979913,0.04567795087581573,0.9245736412217456,0.03492866026929046,0.29937173183235394,-0.08607989241148875,0.11484028704463782,-0.005962228751111206,-0.013892943574048671,0.03467899486285647,0.12105655948499591,-0.04567795087581573,-0.03406741042775129,-0.0041601400845248234,0.018172475718601033,0.03661851476349224,0.11991322972452555,-0.05523648694448821,0.01385484936716177,-0.004619964722138265
K71_001.5Tilt_050.9Skew_East_Smooth.mat,50.9,-1.5,50.90961076910086,0.9459486237036456,0.34601636419513115,0.015560702300139506,0.08354079898428224,0.0380323663518676,0.8699299733112459,0.03912162180003358,0.21003239312061245,-0.08513226916719,0.09561829690455217,-0.003740534991934254,-0.015560702300139504,0.03634581252351991,0.08452118473896442,-0.0380323663518676,-0.033810978419893126,-0.0023736868146772144,0.01839814906618724,0.03638577126831473,0.0839319246407159,-0.05022360699898968,0.008159234672245231,-0.0025087308946135033
K71_000.0Tilt_050.9Skew_East_Smooth.mat,50.9,-0.0,50.900000000000006,0.0,0.3428927831743764,0.025703204201431337,0.05463837606728077,0.029775461612065988,0.8620768858992058,0.06462118575511956,0.13736795698822676,-0.07839136977464223,0.07485936853237149,-0.000847927406613853,-0.025703204201431334,0.038197900716316534,0.05463837606728077,-0.02977546161206599,-0.03118032207862902,-0.0003372647998564359,0.01343295454507315,0.04403737114706158,0.05463837606728077,-0.04297604021412674,0.0034424651998847568,-0.0003372647998564359
K71_-01.5Tilt_050.9Skew_East_Smooth.mat,50.9,1.5,50.90961076910086,-0.9459486237036456,0.34201470358126473,0.01830510032467492,0.01894742976538423,0.021016055026380803,0.8598692800283746,0.046021394028416304,0.047636293469698686,-0.06090201854929265,0.0528370854099171,-0.002701205512999817,-0.018305100324674917,0.03858301350204141,0.017943593036561716,-0.021016055026380803,-0.02424372194896419,-0.00043993392330847654,0.01840408932763998,0.03823440830008851,0.018577343131331796,-0.03206839932271037,0.0010320074984510974,-0.00042295398066629036
K71_-03.0Tilt_050.9Skew_East_Smooth.mat,50.9,3.0,50.938452205871805,-1.8915065846555075,0.3690856448824698,0.01905904135139649,-0.018335148926194353,0.011341805621206255,0.9279291340715415,0.04791689945857072,-0.04609694010606687,-0.08222744660892561,0.028514768902066095,-0.005187229162117471,-0.019059041351396487,0.040099823097944784,-0.02046185377265059,-0.011341805621206257,-0.032769287747240625,-0.00034869650602361066,0.019126141898454817,0.04072141466960571,-0.019128183732917116,-0.03259144592797083,-0.011825196946862066,-0.0007394139274256133
